Polymer,SMILES,P_MW,P_wt%,surface tension (mN/m),pore maker,pore maker molecular weight (Da),pore maker wt% (pore maker to total weight),additive,additive wt% (additive to polymer),organic solvent,solubility parameter (MPa1/2),TMP (bar),organic compound,oraganic compound concentration (mg/L),organic compound size (Da),foulant,foulant concentration (mg/L),water permeability (LMH/bar),organic compound removal (%),flux decline ratio (%),flux recovery ratio (%) ,reversible fouling ratio (%),irreversible fouling ratio(%)
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,Hap-AC,0,NMP,22.9,1,BSA,100,66000,BSA,100,143,86.6,56.3,53.3,7,46.7
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,Hap-AC,0.5,NMP,22.9,1,BSA,100,66000,BSA,100,212.3,92.5,52.9,65,17.5,35
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,Hap-AC,1,NMP,22.9,1,BSA,100,66000,BSA,100,352,98.5,54,73,37.5,27
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,Hap-AC,2,NMP,22.9,1,BSA,100,66000,BSA,100,475,98.5,66.3,86.3,50,13.7
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,Hap-AC,4,NMP,22.9,1,BSA,100,66000,BSA,100,660,98.6,72.3,91.3,60,8.7
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,15,42,PVP,40000,3,Hap-BN,0,NMP,22.9,1,BSA,100,66000,BSA,100,286,90,60.8,47,7,53
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,15,42,PVP,40000,3,Hap-BN,1,NMP,22.9,1,BSA,100,66000,BSA,100,412.5,92,57,63,21,37
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,15,42,PVP,40000,3,Hap-BN,2,NMP,22.9,1,BSA,100,66000,BSA,100,620,91,51.6,73.7,42,26.3
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,15,42,PVP,40000,3,Hap-BN,4,NMP,22.9,1,BSA,100,66000,BSA,100,560,90,71.4,83,55,17
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,62000,16,42,PVP,30000,4,PDA-TA-g-HANTs,0,NMP,22.9,1,BSA,1000,67000,BSA,1000,150,95,80,55,21.3,45
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,62000,16,42,PVP,30000,4,PDA-TA-g-HANTs,0.1,NMP,22.9,1,BSA,1000,67000,BSA,1000,280,96,77.8,77.9,46.7,22.1
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,62000,16,42,PVP,30000,4,PDA-TA-g-HANTs,0.2,NMP,22.9,1,BSA,1000,67000,BSA,1000,380,97.5,73.6,75,42,25
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,62000,16,42,PVP,30000,4,PDA-TA-g-HANTs,0.3,NMP,22.9,1,BSA,1000,67000,BSA,1000,420,97.5,71.4,70,36,30
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,62000,16,42,PVP,30000,4,PDA-TA-g-HANTs,0.4,NMP,22.9,1,BSA,1000,67000,BSA,1000,335,97.5,67.2,66.5,28,33.5
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-g-HANTs,0,NMP,22.9,1,BSA,1000,67000,BSA,1000,152.8,95.7,38.75,68.75,30,31.25
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-g-HANTs,0.3,NMP,22.9,1,BSA,1000,67000,BSA,1000,397.2,94.3,48,83,35,17
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-PEI-g-HANTs,0.1,NMP,22.9,1,BSA,1000,67000,BSA,1000,302.1,94.8,45,75,30,25
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-PEI-g-HANTs,0.2,NMP,22.9,1,BSA,1000,67000,BSA,1000,434.5,94,46.5,79,32.5,21
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-PEI-g-HANTs,0.3,NMP,22.9,1,BSA,1000,67000,BSA,1000,481.6,94.5,50.5,90,39.5,10
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-PEI-g-HANTs,0.4,NMP,22.9,1,BSA,1000,67000,BSA,1000,460.4,94.1,50,87.5,37.5,12.5
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-g-HANTs,0,NMP,22.9,1,HA,1000,,HA,1000,152.8,98,44.1,76.3,32.2,23.7
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-g-HANTs,0.3,NMP,22.9,1,HA,1000,,HA,1000,397.2,98,52,87.5,35.5,12.5
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-PEI-g-HANTs,0.1,NMP,22.9,1,HA,1000,,HA,1000,302.1,98,48,80,32,20
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-PEI-g-HANTs,0.2,NMP,22.9,1,HA,1000,,HA,1000,434.5,98,49,84,35,16
Carboxylic polysulfone,*Oc1ccc(C(C)(C)c2ccc(Oc3ccc(S(=O)(=O)c4ccc(*)cc4C(=O)O)c(C(=O)O)c3)cc2)cc1,,17,,PVP,30000,4,PDA-PEI-g-HANTs,0.4,NMP,22.9,1,HA,1000,,HA,1000,460.4,98,53.8,90,36.2,10
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,ZnFe2O4,0,NMP,22.9,1,HA,50,,HA,50,240,65,47.9,65,12.5,35
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,ZnFe2O4,2,NMP,22.9,1,HA,50,,HA,50,365,82.5,52.1,72,29,28
Polyethersulfone,*Oc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,58000,16,42,PVP,40000,2,PDA-ZnFe2O4,2,NMP,22.9,1,HA,50,,HA,50,500,94,60,90,49,10
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,65000,20,46.6,PEG,2000,2,TiO2 NPs-2,0,DMAc,22.7,1,BSA,100,67000,BSA,100,50,89.4,26,72,28.2,28
Polysulfone,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc(*)cc4)cc3)cc2)cc1,65000,18,46.6,PEG,2000,2,TiO2 NPs-2,2,DMAc,22.7,1,BSA,100,67000,BSA,100,118,94,41.7,72.5,27.8,27.5
