polymer, polymer  SMILES string,polymer MW (g/mol),polymer wt%,intrinsic viscosity (dl/g),polymer surface tension (mN/m),pore maker ,pore maker molecular weight (Da),pore maker wt% (pore maker weight to total weight),additive,additive wt% (additive weight to polymer),organic solvent,solubility parameter (MPa1/2),mean pore radius (nm),overall porosity (%),contact angle (degree)
Polyethersulfone,,58000,20,0.41,42,PVP,25000,1,PAA-g-MWCNT-TiO2,0.1,DMAc,22.7,65,73.75,76
Polyethersulfone,,58000,20,0.41,42,PVP,25000,1,PAA-g-MWCNT-TiO2,0.5,DMAc,22.7,70,78.75,65
Polyethersulfone,,58000,20,0.41,42,PVP,25000,1,PAA-g-MWCNT-TiO2,1,DMAc,22.7,75,82.5,52.5
Polyethersulfone,,58000,20,0.41,42,PVP,25000,1,PAA-g-MWCNT-TiO2,2,DMAc,22.7,77.5,77.5,41
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,4000,2,boehmite,0,NMP,22.9,5.55,68.7,71.3
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,4000,2,boehmite,0.25,NMP,22.9,6.3,71.3,62.3
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,4000,2,boehmite,0.5,NMP,22.9,6.65,74.1,59.8
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,4000,2,boehmite,0.75,NMP,22.9,7.45,79.2,57.2
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,4000,2,boehmite,1,NMP,22.9,7.05,76.4,53.2
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,4000,2,boehmite,2,NMP,22.9,6.85,75.9,51
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,none,0,NMP,22.9,9.3,67.9,67.5
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,ZnO NPs-3,0.3,NMP,22.9,9.8,70.5,65.4
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,ZnO NPs-3,1,NMP,22.9,10.5,75.1,62.1
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,ZnO NPs-3,2,NMP,22.9,11.2,77.3,57.8
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,ZnO NPs-3,3,NMP,22.9,12.1,79.8,54.5
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,ZnO NPs-3,4,NMP,22.9,11.5,76.2,52.2
Polyvinyl chloride,ClC=C,,15,0.84,,PVP,40000,4,none,0,NMP,22.9,61.38,66.1,77.5
Polyvinyl chloride,ClC=C,,15,0.84,,PVP,40000,4,Al2O3 NPs-2,1,NMP,22.9,63.25,69.9,74.2
Polyvinyl chloride,ClC=C,,15,0.84,,PVP,40000,4,Al2O3 NPs-2,2,NMP,22.9,73.45,72.3,69.8
Polyvinyl chloride,ClC=C,,15,0.84,,PVP,40000,4,Al2O3 NPs-2,3,NMP,22.9,85.8,76.8,64.3
Polyvinyl chloride,ClC=C,,15,0.84,,PVP,40000,4,Al2O3 NPs-2,4,NMP,22.9,82.14,71.1,58.1
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,none,0,NMP,22.9,3.4,76.9,67.5
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,TiO2 NPs-5,1,NMP,22.9,3.4,79.6,62
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,Ag-TiO2,0.25,NMP,22.9,3.7,83.3,61.2
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,Ag-TiO2,0.5,NMP,22.9,3.8,82.5,60
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,Ag-TiO2,1,NMP,22.9,3.9,82,58
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,Ag-TiO2,2,NMP,22.9,3.7,81,57
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,Ag-TiO2,4,NMP,22.9,3.6,80.8,56
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,TiO2 NPs-6,0.2,NMP,22.9,9.6,72.6,64.6
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,TiO2 NPs-6,0.5,NMP,22.9,10,76.4,61.03
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,TiO2 NPs-6,1,NMP,22.9,10.3,79.1,59.1
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,TiO2 NPs-6,2,NMP,22.9,12.5,78.7,57.2
Polyvinyl chloride,ClC=C,,15,0.84,,PEG,6000,4,TiO2 NPs-6,4,NMP,22.9,12.1,75.2,55.4
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,SPDA,0,NMP,22.9,41,62,70
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,SPDA,1,NMP,22.9,55,70,66
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,SPDA,2,NMP,22.9,53,79.5,61.25
Polyethersulfone,,58000,16,0.41,42,PVP,40000,2,SPDA,4,NMP,22.9,55,75,53.75
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,,1,none,0,DMAc,22.7,37.42,69.58,78.75
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,,1,OMWCNTs,1,DMAc,22.7,42.78,78.14,67
Polyvinylidene fluoride,FC(F)=C,,15,1.22,29.2,PVP,,1,GO-6,1,DMAc,22.7,45.32,79.59,66.2
Carboxylated polysulfone,,,17,,,PVP,30000,4,none,0,NMP,22.9,5.36,52.7,76
Carboxylated polysulfone,,,17,,,PVP,30000,4,PDA-g-HANTs,0.3,NMP,22.9,6.42,67.3,66.5
Carboxylated polysulfone,,,17,,,PVP,30000,4,PDA-PEI-g-HANTs,0.1,NMP,22.9,6.09,62.6,72.2
Carboxylated polysulfone,,,17,,,PVP,30000,4,PDA-PEI-g-HANTs,0.2,NMP,22.9,6.63,70.4,68.3
Carboxylated polysulfone,,,17,,,PVP,30000,4,PDA-PEI-g-HANTs,0.3,NMP,22.9,7.41,74.2,62.5
Carboxylated polysulfone,,,17,,,PVP,30000,4,PDA-PEI-g-HANTs,0.4,NMP,22.9,6.99,72.1,60.1
Polyvinylidene fluoride,FC(F)=C,470000,13,1.22,29.2,none,,0,GO-8,0,DMAc,22.7,7.99,71.74,72.6
Polyvinylidene fluoride,FC(F)=C,470000,13,1.22,29.2,none,,0,GO-8,0.5,DMAc,22.7,10.61,74.48,70.5
Polyvinylidene fluoride,FC(F)=C,470000,13,1.22,29.2,none,,0,GO-8,1,DMAc,22.7,12.34,75.35,64.2
Polyvinylidene fluoride,FC(F)=C,470000,13,1.22,29.2,none,,0,GO-8,2,DMAc,22.7,12.61,76.83,60.5
poly(m-phenylene isophthalamide),,200000,12,1.01,,none,,0,LiCl,5,DMAc,22.7,23.4,47.86,70.55
poly(m-phenylene isophthalamide),,200000,12,1.01,,Pluronic F127,12600,0.5,LiCl,5,DMAc,22.7,24.1,52.5,57.5
poly(m-phenylene isophthalamide),,200000,12,1.01,,Pluronic F127,12600,1,LiCl,5,DMAc,22.7,24.5,57.5,56
poly(m-phenylene isophthalamide),,200000,12,1.01,,Pluronic F127,12600,1.5,LiCl,5,DMAc,22.7,25.75,62,54
poly(m-phenylene isophthalamide),,200000,12,1.01,,Pluronic F127,12600,2,LiCl,5,DMAc,22.7,26,70,50
poly(m-phenylene isophthalamide),,200000,12,1.01,,Pluronic F127,12600,2.5,LiCl,5,DMAc,22.7,26.66,74.83,44.71
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z1),0.02,DMAc,22.7,7,76.5,72.5
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z1),0.05,DMAc,22.7,8.2,79.4,71
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z1),0.1,DMAc,22.7,8.5,81.3,67.5
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z1),0.2,DMAc,22.7,7.6,81.4,66
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z1),0.5,DMAc,22.7,7.4,77.2,64
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z1),1,DMAc,22.7,7.2,69.4,61
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z2),0.02,DMAc,22.7,6.5,74.2,73
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z2),0.05,DMAc,22.7,6.8,75.7,71.25
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z2),0.1,DMAc,22.7,7.3,77.9,70
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z2),0.2,DMAc,22.7,7.4,80.9,65.5
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z2),0.5,DMAc,22.7,7.1,72.3,65
Polyvinylidene fluoride,FC(F)=C,,18,1.22,29.2,PVP,29000,1,ZIF-8 (Z2),1,DMAc,22.7,6.9,71.5,62.5
Polyvinylidene fluoride,FC(F)=C,400000,15,1.22,29.2,PVP,40000,1,none,0,NMP,22.9,23.77,58.59,78.49
Polyvinylidene fluoride,FC(F)=C,400000,15,1.22,29.2,PVP,40000,1,GO-9,0.5,NMP,22.9,22.24,70.44,75.38
Polyvinylidene fluoride,FC(F)=C,400000,15,1.22,29.2,PVP,40000,1,GO-9,1,NMP,22.9,22.32,73.62,63.61
Polyvinylidene fluoride,FC(F)=C,400000,15,1.22,29.2,PVP,40000,1,GO-9,1.5,NMP,22.9,21.1,72.52,68.33
Polyvinylidene fluoride,FC(F)=C,400000,15,1.22,29.2,PVP,40000,1,UiO-66-2,1,NMP,22.9,22.27,73.4,68
Polyvinylidene fluoride,FC(F)=C,400000,15,1.22,29.2,PVP,40000,1,GO-UiO-66,0.5,NMP,22.9,23.74,74.37,70.41
Polyvinylidene fluoride,FC(F)=C,400000,15,1.22,29.2,PVP,40000,1,GO-UiO-66,1,NMP,22.9,24.49,80.71,58.31
Polyvinylidene fluoride,FC(F)=C,400000,15,1.22,29.2,PVP,40000,1,GO-UiO-66,1.5,NMP,22.9,23.71,78.41,60.88
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,18,0.408,46.6,PVP,,1,none,0,DMAc,22.7,27.8,47.1,80.8
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,18,0.408,46.6,PVP,,1,GO-10,0.5,DMAc,22.7,28.1,48.9,78.2
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,18,0.408,46.6,PVP,,1,DPPA-GO,0.1,DMAc,22.7,29.7,45.8,77
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,18,0.408,46.6,PVP,,1,DPPA-GO,0.3,DMAc,22.7,32.8,49.3,71.9
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,18,0.408,46.6,PVP,,1,DPPA-GO,0.5,DMAc,22.7,35.7,50.3,68.6
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,18,0.408,46.6,PVP,,1,DPPA-GO,1,DMAc,22.7,39.8,49.3,71.7
Polyvinylidene fluoride,FC(F)=C,,16,1.22,29.2,PVP,,3,PFSA-g-GO,0,DMAc,22.7,32.7,43.2,90
Polyvinylidene fluoride,FC(F)=C,,16,1.22,29.2,PVP,,3,PFSA-g-GO,0.5,DMAc,22.7,66.6,77.1,71
Cellulose acetate,,30000,16,,63.55,PEG,400,2,CNC-3,3,DMF,24.8,30.5,62,61.5
Cellulose acetate,,30000,16,,63.55,PEG,400,2,CNC-3,5,DMF,24.8,34,77.5,58.25
Cellulose acetate,,30000,16,,63.55,PEG,400,2,CNC-3,10,DMF,24.8,39,89.5,62
Cellulose acetate,,30000,16,,63.55,PEG,400,2,CNC-3,15,DMF,24.8,61,94.5,68.5
Cellulose acetate,,,15,,63.55,PVP,25000,2,none,0,NMP,22.9,68.5,40.8,67.1
Cellulose acetate,,,15,,63.55,PVP,25000,2,CNC-4,0.5,NMP,22.9,72,61.4,53
Cellulose acetate,,,15,,63.55,PVP,25000,2,CNC-4,1.2,NMP,22.9,26.7,63.2,47.2
